Membership No  Date Joined  Active  
    24573      2015-8-11    yes   
    58965      2016-6-13    yes   
    71302      2016-8-18    yes   
    76585      2018-7-3     no    
    88851      2015-4-4     yes   
    97040      2015-4-6     yes   
    44540      2018-5-11    no    
    11268      2015-8-20    no    
    91038      2015-9-16    yes   
    18699      2020-11-7    no    
    63319      2020-11-24   yes   
    87590      2015-7-17    no    
    79765      2017-1-23    yes   
    50144      2020-12-19   no    
    62364      2020-2-1     yes   
    50642      2017-2-6     yes   
    55370      2018-3-20    yes   
    39727      2017-12-7    no    
    81488      2015-3-2     yes   
    38706      2015-5-11    no    
